ID,US,EU,JP,US TITLE,EU TITLE,JP TITLE
t2dc,0,,,Trine 2: Director's Cut,,
tee,0,,,Trine Enchanted Edition,,
wvc,0,,,Virtual Console,,
vxlm,0,,,VoxelMaker,,
wo3,0,,,Warriors Orochi 3,,
wds,0,,,Watch_Dogs,,
wwm,0,,,Wii,,
wfu,0,,,Wii Fit U,,
wpu,0,,,Wii Party U,,
wsc,0,,,Wii Sports Club,,
xcx,0,,,Xenoblade Chronicles X,,XenobladeX ゼノブレイドクロス
xtp,0,,,XType Plus,,
yww,0,,,Yoshi's Woolly World,,ヨッシー ウールワールド
gyt,0,,,YouTube,,
zpb2,0,,,Zen Pinball 2,,
zmbu,0,,,ZombiU,,ゾンビU
vcmother3,,,0,,,MOTHER3
